ID	Title	Date	Post Type	Categories	Tags	Permalink	Content	Author	Author Email	Custom Fields
9	Is Live Playing?	March 30, 2010	post	Max 4 Live,		http://www.adamtindale.com/blog/m4l/9/	So, more explorations with Max 4 Live are underway. It is interesting under there. I ran into a problem where I automated some parameters and then skipped to another place in my Live set. When I pressed play the parameters of my max patch were a little whacky and I need to bang them to get fresh updated statuses. Loadbang doesn't work since it wasn't an instantiation of a device.I found the solution. The live_set has a parameter that is observable and will tell you if Live is playing. Guess what it is called? That's right - is_playing. So I have a screenshot of this snippet of a Max 4 Live patch that you can check out an use to send a bang when Live is set to play.Enjoy!<a href="http://www.adamtindale.com/blog/wp-content/uploads/2010/03/isliveplaying.tiff"><img class="alignnone size-full wp-image-10" title="isliveplaying" src="http://www.adamtindale.com/blog/wp-content/uploads/2010/03/isliveplaying.tiff" alt="" /></a>	adamtindale	adamrtindale@gmail.com	_edit_lock  => 1285535726,_edit_last  => 1,
12	New Languages	May 5, 2010	post	Uncategorized,		http://www.adamtindale.com/blog/uncategorized/12/	In preparing for mono.mono//stereo I searched for something that would make images that I wanted. I started with Processing but once I started adding some effects it got way too slow so I found Quartz Composer. I ended up using that for the piece. That introduced a lot of communication problems. OSC is not implemented well and there are a lot of resets and bogus reports. The same data sent to any other program looks just fine. I am looking to leave Quartz and move to another language. What I can't find is a good language for drawing in 3D with a list of arbitrary coordinates.So, I have been thinking about going back to Processing or checking out Field. Field has a lot of nice bridges to Max/MSP and some incredible hybrid code/gui functions. It also binds with python nicely so I could integrate marsyas and some other systems pretty easily. Could this be the glue I am looking for?I am still searching. I have some time coming up and I think I will play with it a bit and report back.	adamtindale	adamrtindale@gmail.com	_edit_lock  => 1273071942,_edit_last  => 1,
15	Banff Residency	August 2, 2010	post	Uncategorized,		http://www.adamtindale.com/blog/uncategorized/15/	I am on a Residency with Jordan Tate in Banff to work on my visual competency and I am teaching Jordan about programming and digital media.Jordan's first assignment is to make 10 animated gifs in response to other work. Here is part one. This is called 4'33". I recently saw Rauschenberg's "White Paintings" at SFMOMA and I was really taken. I love minimalism. I found out through some reading that Cage didn't really go for the full 4'33" until he saw these. I like black so I made a black animated gif with various degrees of black. I did this because Cage discovered that you can't ever experience silence, there is always some noise and jitter. http://www.emvergeoning.com/?p=1095<hr><pre>// TITLE: 4'33"// Adam Tindale 2010// http://www.emvergeoning.com/?p=1095import gifAnimation.*;GifMaker gifExport;PImage mygif;color[] c = new color [3];int i = 0;void setup(){  gifExport = new GifMaker(this, "export.gif"); gifExport.setRepeat(0);  c[0] =  color(0); c[1] =  color(3); c[2] =  color(5); }void draw(){ background(c[i]); gifExport.setDelay(1); gifExport.addFrame();  if (i == 2){  gifExport.finish();   exit(); }  i = ++i % 3;}</pre><a href="http://www.adamtindale.com/blog/wp-content/uploads/2010/08/export.gif"><img src="http://www.adamtindale.com/blog/wp-content/uploads/2010/08/export.gif" alt="" title="export" width="100" height="100" class="alignnone size-full wp-image-16" /></a>	adamtindale	adamrtindale@gmail.com	_edit_last  => 1,_edit_lock  => 1280804684,_oembed_7a5c80988eeb8effe00f24817ea00aa4  => {{unknown}},_wp_old_slug  => ,
17	SELFPORTRAIT (_loading)	August 3, 2010	post	Uncategorized,		http://www.adamtindale.com/blog/uncategorized/17/	This is an animated GIF. Click on it to watch the animation.<a href="http://www.adamtindale.com/blog/wp-content/uploads/2010/08/export1.gif"><img class="alignnone size-medium wp-image-18" title="selfportrait" src="http://www.adamtindale.com/blog/wp-content/uploads/2010/08/export1-300x200.gif" alt="" width="300" height="200" /></a>	adamtindale	adamrtindale@gmail.com	_edit_last  => 1,_edit_lock  => 1280805638,_wp_old_slug  => ,
19	Rolling	August 3, 2010	post	Uncategorized,		http://www.adamtindale.com/blog/uncategorized/19/	<a href="http://www.adamtindale.com/blog/wp-content/uploads/2010/08/blackorwhite.gif"><img class="alignnone size-full wp-image-20" title="blackorwhite" src="http://www.adamtindale.com/blog/wp-content/uploads/2010/08/blackorwhite.gif" alt="" width="100" height="100" /></a><hr><pre>// TITLE: Rolling// Adam Tindale 2010int count = 0;import gifAnimation.*;GifMaker gifExport;void setup(){        gifExport = new GifMaker(this, "blackorwhite.gif");  gifExport.setRepeat(0);  frameRate(5); noStroke(); }void draw(){  background(0);    rect(((count-10)/10.0) * width,0, width, height);   gifExport.setDelay(5); gifExport.addFrame();  if (count == 19){  gifExport.finish();   exit(); }      count = ++count % 20;}</pre>	adamtindale	adamrtindale@gmail.com	_edit_lock  => 1280809507,_edit_last  => 1,_wp_old_slug  => ,
21	Motion Study	August 3, 2010	post	Uncategorized,		http://www.adamtindale.com/blog/uncategorized/21/	I took a bunch of pictures and then pasted them together with<code>convert $(ls *JPG | sort -n -r) $(ls *JPG | sort -n) -layers OptimizePlus paper.gif</code>convert is a tool from the free ImageMagick package. The sort command organizes the files into numerical order (great for those file names that cameras tend to import). The -r flag reverses the set in the first sequences and then I remove it for the second sequence so it loops nicely. Again, you may have to click on the picture and let it load a second before you get a nicely looping image. <a href="http://www.adamtindale.com/blog/wp-content/uploads/2010/08/papersmall.gif"><img src="http://www.adamtindale.com/blog/wp-content/uploads/2010/08/papersmall.gif" alt="" title="papersmall" width="160" height="120" class="alignnone size-full wp-image-23" /></a>	adamtindale	adamrtindale@gmail.com	_edit_lock  => 1280879482,_edit_last  => 1,_wp_old_slug  => ,
24	Gearing Up for Creative Pact 2010	August 28, 2010	post	Creative Pact 2010,		http://www.adamtindale.com/blog/creativepact2010/24/	Finally I am going to be staying at home for some length of time. I have a few goals for the next few months to forward my practice. I need to improve my <a href="http://www.processing.org">Processing.org</a> skills and learn some new tricks to get my next project done. To that end I am committing to the Creative Pact 2010 in order to keep myself motivated. Every day in September I will put up a new post about something creative I have done in Processing. I was thinking that every post would be audio + visuals but I think I am going to keep it manageable. I don't know if I will have more than an hour a day to be creative since school starts soon. Weekends will likely have bigger projects, as I will have more time on those days.I am hoping to learn some more about Minim, controlP5, GLGraphics and OpenGL in general as I create this stuff. For all you Processing experts watching please comment and show me how to improve my code, coding, and inspiration for visuals. Even links to things would be super helpful.I am going to build a few tools for the next few days so I can take some screenshots and videos easily to post for y'all. I will put them here in case they are useful for you too.	adamtindale	adamrtindale@gmail.com	_edit_lock  => 1283014683,_edit_last  => 1,_wp_old_slug  => ,
26	Sorry	August 28, 2010	post	Uncategorized,		http://www.adamtindale.com/blog/uncategorized/26/	I just changed the way the url mechanism works and it looks like if you subscribe via RSS then all of the blog looks new to your reader. Sorry!	adamtindale	adamrtindale@gmail.com	_edit_lock  => 1283024953,_edit_last  => 1,_wp_old_slug  => ,
27	O’Reilly Class	August 31, 2010	post	Creative Pact 2010,		http://www.adamtindale.com/blog/creativepact2010/27/	I enrolled for the O'Reilly class on Processing and Arduino and it starts in 30 minutes. I am hoping that it becomes useful. I do like controlP5 as a library for guis. In the meantime I did a few utils. I have an easy save mechanism thanks to saveFrame() in Processing. I also have some sketch code for recording video. Surely this will change over the month but these are things that I thought would be important to start. I think I may also start a template sketch so I can get straight to my idea. I'll be sure to put it up if I get to it. <pre>import processing.video.*;MovieMaker mm;  // Declare MovieMaker object/*// copy to setup() to activate mm = new MovieMaker(this, width, height, "mysketchoutput.mov",                       frameRate, MovieMaker.H263, MovieMaker.HIGH);// copy to the end of draw() mm.addFrame();*/void captureEvent(Capture myCapture) {  myCapture.read();}void mouseReleased(){   println(frameRate); }void keyPressed(){ if(key == ' ')  saveFrame();  if (key == 'f')  println(frameRate);    if(key == 's' & mm != null)     mm.finish();}</pre>	adamtindale	adamrtindale@gmail.com	_edit_lock  => 1283290501,_edit_last  => 1,_wp_old_slug  => ,
28	Day 1	September 2, 2010	post	Creative Pact 2010,		http://www.adamtindale.com/blog/creativepact2010/28/	My first sketch is a simple Lissajous curve out of a live audio input. I borrowed some code from a Minim example and a <a href="http://www.openprocessing.org/visuals/?visualID=6656">sketch</a> from <a href="http://www.openprocessing.org/">OpenProcessing.org</a>.I used the RMS values from the audio buffer to determine the sound and location of each plot. These changes aren't radical but they add some flavour. Enjoy!<a href="http://www.adamtindale.com/blog/wp-content/uploads/2010/09/screen-0037.tif"><img class="alignnone size-full wp-image-29" title="screen-0037" src="http://www.adamtindale.com/blog/wp-content/uploads/2010/09/screen-0037.tif" alt="" width="384" height="288" /></a><a href="http://www.adamtindale.com/blog/wp-content/uploads/2010/09/screen-0176.tif"><img class="alignnone size-full wp-image-30" title="screen-0176" src="http://www.adamtindale.com/blog/wp-content/uploads/2010/09/screen-0176.tif" alt="" width="384" height="288" /></a><hr /><pre>import ddf.minim.*;import processing.video.*;Minim minim;AudioInput input;WaveformRenderer waveform;MovieMaker mm;void setup(){  size(640, 480, P2D);  frameRate(24);  minim = new Minim(this);  input = minim.getLineIn(Minim.STEREO, 512);  waveform = new WaveformRenderer();  input.addListener(waveform);  mm = new MovieMaker(this, width, height, "mysketchoutput.mov", 24, MovieMaker.H263, MovieMaker.HIGH);}void draw(){  //background(0);  fill(0,20);  noStroke();  rect(0,0,width,height);  // see waveform.pde for an explanation of how this works  waveform.draw();  mm.addFrame();}void stop(){  // always close Minim audio classes when you are done with them  input.close();  // always stop Minim before exiting.  minim.stop();  super.stop();   mm.finish();}void captureEvent(Capture myCapture) {  myCapture.read();}class WaveformRenderer implements AudioListener{  private float[] left;  private float[] right;  color a = color (38,148,200);  color b = color(200,148,38);  WaveformRenderer()  {    left = null;    right = null;  }  synchronized void samples(float[] samp)  {    left = samp;  }  synchronized void samples(float[] sampL, float[] sampR)  {    left = sampL;    right = sampR;  }  synchronized void draw()  {    if ( left != null &amp;&amp; right != null )    {      noFill();      float rms = 0;      for (int i = 0 ; i &lt; left.length; i++)        rms += left[i];      rms *= rms;      //rms /= left.length;      fill(lerpColor(a,b,rms*255));      beginShape();      for (int step=0; step< right.length; step++) {             float l = 5-step;               int x=(int) (right[step]*l*Math.sin(l*Math.PI/right.length));             int y=(int) (right[step]*l*Math.cos(l*Math.PI/right.length));             vertex ( 0.75*width + x - rms, height/2 + y);      }      endShape();    }  }}</pre>	adamtindale	adamrtindale@gmail.com	_edit_lock  => 1283395018,_edit_last  => 1,_wp_old_slug  => ,
